index,label
1,0.0
11,-1.0
25,0.0
26,-1.0
27,0.0
34,-1.0
44,0.0
49,0.0
53,0.0
54,0.0
56,0.0
79,-1.0
84,0.0
91,-1.0
102,0.0
103,-1.0
108,0.0
110,0.0
111,0.0
116,0.0
123,1.0
154,0.0
172,0.0
176,0.0
178,0.0
184,0.0
186,0.0
192,0.0
203,0.0
207,0.0
218,0.0
221,0.0
231,0.0
241,0.0
251,0.0
252,0.0
253,0.0
258,0.0
270,1.0
286,0.0
287,1.0
291,0.0
296,0.0
308,0.0
324,0.0
326,0.0
333,1.0
338,0.0
342,0.0
349,0.0
350,0.0
352,0.0
353,0.0
359,-1.0
364,0.0
370,-1.0
371,0.0
374,-1.0
375,0.0
377,-1.0
378,0.0
383,-1.0
403,0.0
413,-1.0
421,0.0
428,-1.0
434,0.0
435,0.0
447,1.0
452,0.0
456,1.0
480,0.0
484,0.0
489,0.0
491,0.0
495,0.0
504,0.0
514,-1.0
526,0.0
529,-1.0
541,0.0
559,0.0
562,0.0
568,0.0
577,0.0
590,0.0
591,0.0
595,0.0
602,0.0
607,-1.0
614,0.0
626,-1.0
651,0.0
652,-1.0
654,0.0
665,-1.0
667,0.0
668,-1.0
669,0.0
671,-1.0
687,1.0
692,0.0
698,1.0
716,-1.0
717,0.0
718,-1.0
732,1.0
735,0.0
747,1.0
774,0.0
792,0.0
793,0.0
794,0.0
795,0.0
812,0.0
826,-1.0
837,0.0
839,-1.0
840,0.0
844,-1.0
854,0.0
863,0.0
868,1.0
869,0.0
871,1.0
894,0.0
898,0.0
899,0.0
915,1.0
920,0.0
921,1.0
922,0.0
924,1.0
925,0.0
927,1.0
949,0.0
961,1.0
963,0.0
977,1.0
998,0.0
1002,0.0
1004,0.0
1006,0.0
1007,0.0
1022,0.0
1023,0.0
1030,1.0
1031,0.0
1032,1.0
1040,0.0
1041,0.0
1043,0.0
1046,1.0
1062,0.0
1064,0.0
1066,0.0
1069,0.0
1070,0.0
1080,0.0
1082,0.0
1089,0.0
1105,0.0
1134,0.0
1150,0.0
1163,0.0
1169,0.0
1175,1.0
1189,0.0
1195,0.0
1203,0.0
1214,0.0
1218,0.0
1231,1.0
1233,0.0
1235,1.0
1246,0.0
1247,1.0
1263,0.0
1264,1.0
1266,0.0
1275,1.0
1289,0.0
1302,0.0
1307,0.0
1317,1.0
1322,0.0
1325,1.0
1331,0.0
1335,1.0
1355,0.0
1357,1.0
1364,0.0
1367,0.0
1368,0.0
1393,0.0
1400,0.0
1405,0.0
1409,-1.0
1424,0.0
1437,0.0
1440,0.0
1445,-1.0
1449,0.0
1450,-1.0
1451,0.0
1455,-1.0
1462,0.0
1464,-1.0
1471,0.0
1477,-1.0
1493,1.0
1517,0.0
1540,0.0
1554,0.0
1588,0.0
1594,0.0
1595,0.0
1604,-1.0
1614,0.0
1623,0.0
1629,0.0
1630,0.0
1632,0.0
1635,0.0
1637,0.0
1642,0.0
1650,1.0
1658,0.0
1660,1.0
1677,0.0
1678,0.0
1688,0.0
1694,0.0
1697,0.0
1717,0.0
1721,0.0
1723,1.0
1728,0.0
1736,1.0
1743,0.0
1745,1.0
1770,0.0
1790,1.0
1792,0.0
1800,1.0
1818,0.0
1823,1.0
1827,0.0
1829,1.0
1832,0.0
1836,1.0
1849,0.0
1859,0.0
1861,0.0
1865,0.0
1873,0.0
1874,0.0
1875,0.0
1893,1.0
1896,0.0
1899,0.0
1910,0.0
1911,0.0
1912,-1.0
1913,0.0
1917,-1.0
1921,0.0
1925,-1.0
1942,0.0
1949,0.0
1959,0.0
1971,0.0
1977,0.0
2000,0.0
2006,0.0
2014,-1.0
2024,0.0
2025,-1.0
2026,0.0
2027,-1.0
2030,0.0
